Treatment;Spores_g;Spores;Spores_ul;shoot weight (g)
Control;58479.53216;13000;4.333333333;0.2223
Control;151057.4018;45000;15;0.2979
Control;75867.05202;21000;7;0.2768
Control;43911.00703;15000;5;0.3416
Control;85301.83727;13000;4.333333333;0.1524
Control;50330.29254;16000;5.333333333;0.3179
Control;265957.4468;50000;16.66666667;0.188
Control;82191.78082;24000;8;0.292
Control;146948.003;39000;13;0.2654
Control;125997.4801;30000;10;0.2381
Control;173553.719;63000;21;0.363
Control;114168.6183;39000;13;0.3416
Mock_Mock;66964.28571;9000;3;0.1344
Mock_Mock;75368.27681;22000;3.666666667;0.2919
Mock_Mock;143853.531;33000;11;0.2294
Mock_Mock;56850.48323;20000;6.666666667;0.3518
Mock_Mock;161097.852;27000;9;0.1676
Mock_Mock;219454.3298;37000;12.33333333;0.1686
Mock_Mock;121412.8035;22000;7.333333333;0.1812
Mock_Mock;72880.70579;19000;6.333333333;0.2607
Mock_Mock;131440.5889;25000;8.333333333;0.1902
Mock_Mock;103884.3722;23000;7.666666667;0.2214
Mock_Mock;223809.5238;47000;15.66666667;0.21
Hpa_Mock;60362.17304;15000;5;0.2485
Hpa_Mock;71971.21152;18000;6;0.2501
Hpa_Mock;47204.06681;13000;4.333333333;0.2754
Hpa_Mock;55810.89954;17000;5.666666667;0.3046
Hpa_Mock;90522.94408;26000;8.666666667;0.28722
Hpa_Mock;31047.1352;11000;3.666666667;0.3543
Hpa_Mock;27100.271;5000;1.666666667;0.1845
Hpa_Mock;24234.41287;11000;3.666666667;0.4539
Hpa_Mock;71189.27973;17000;5.666666667;0.2388
Hpa_Mock;94537.81513;27000;9;0.2856
Hpa_Mock;59709.24195;23000;7.666666667;0.3852
