Treatment;Soil_type;Inoculum;Spores_g;Spores;Spores_ul;Shoot_fresh_weight
Natural_mock;Natural;Mock;248180.0132;75000;15;0.3022
Natural_mock;Natural;Mock;140731.8054;35000;7;0.2487
Natural_mock;Natural;Mock;755088.6408;115000;23;0.1523
Natural_mock;Natural;Mock;287176.7241;26650;5.33;0.0928
Natural_mock;Natural;Mock;562248.996;70000;14;0.1245
Natural_mock;Natural;Mock;597014.9254;60000;12;0.1005
Natural_mock;Natural;Mock;400636.4922;56650;11.33;0.1414
Natural_mock;Natural;Mock;383116.8831;38350;7.67;0.1001
Natural_mock;Natural;Mock;331792.3186;46650;9.33;0.1406
Natural_mock;Natural;Mock;412844.0367;67500;13.5;0.1635
Natural_mock;Natural;Mock;446969.697;38350;7.67;0.0858
Natural_gnoHpa;Natural;gnoHpa;325027.0856;60000;12;0.1846
Natural_gnoHpa;Natural;gnoHpa;86505.19031;10000;2;0.1156
Natural_gnoHpa;Natural;gnoHpa;140646.9761;20000;4;0.1422
Natural_gnoHpa;Natural;gnoHpa;298044.6927;53350;10.67;0.179
Natural_gnoHpa;Natural;gnoHpa;322551.3906;53350;10.67;0.1654
Natural_gnoHpa;Natural;gnoHpa;375234.5216;60000;12;0.1599
Natural_gnoHpa;Natural;gnoHpa;231021.8978;31650;6.33;0.137
Natural_gnoHpa;Natural;gnoHpa;72833.21194;10000;2;0.1373
Natural_gnoHpa;Natural;gnoHpa;287686.9965;25000;5;0.0869
Natural_gnoHpa;Natural;gnoHpa;285306.7047;20000;4;0.0701
Mix_mock;Mix;Mock;477090.4926;41650;8.33;0.0873
Mix_mock;Mix;Mock;487517.8317;68350;13.67;0.1402
Mix_mock;Mix;Mock;186219.7393;20000;4;0.1074
Mix_mock;Mix;Mock;517142.8571;63350;12.67;0.1225
Mix_mock;Mix;Mock;603378.922;75000;15;0.1243
Mix_mock;Mix;Mock;287907.8695;45000;9;0.1563
Mix_mock;Mix;Mock;165506.9583;16650;3.33;0.1006
Mix_gnoHpa;Mix;gnoHpa;318697.73;53350;10.67;0.1674
Mix_gnoHpa;Mix;gnoHpa;177127.6596;16650;3.33;0.094
Mix_gnoHpa;Mix;gnoHpa;176056.338;17500;3.5;0.0994
Mix_gnoHpa;Mix;gnoHpa;200834.8794;21650;4.33;0.1078
Mix_gnoHpa;Mix;gnoHpa;145711.9067;17500;3.5;0.1201
Mix_gnoHpa;Mix;gnoHpa;323149.2362;55000;11;0.1702
Mix_gnoHpa;Mix;gnoHpa;252397.7789;50000;10;0.1981
Mix_gnoHpa;Mix;gnoHpa;239726.0274;35000;7;0.146
Mix_gnoHpa;Mix;gnoHpa;66489.3617;7500;1.5;0.1128
Mix_gnoHpa;Mix;gnoHpa;107411.3856;10000;2;0.0931
Sterile_mock;Sterile;Mock;418006.4309;65000;13;0.1555
Sterile_mock;Sterile;Mock;443843.594;53350;10.67;0.1202
Sterile_mock;Sterile;Mock;115118.5771;11650;2.33;0.1012
Sterile_mock;Sterile;Mock;556438.7917;70000;14;0.1258
Sterile_mock;Sterile;Mock;348845.5988;48350;9.67;0.1386
Sterile_mock;Sterile;Mock;239712.4442;48350;9.67;0.2017
Sterile_mock;Sterile;Mock;190839.6947;20000;4;0.1048
Sterile_mock;Sterile;Mock;343014.7059;46650;9.33;0.136
Sterile_mock;Sterile;Mock;598771.2665;63350;12.67;0.1058
Sterile_mock;Sterile;Mock;362197.3929;58350;11.67;0.1611
Sterile_mock;Sterile;Mock;607142.8571;42500;8.5;0.07
Sterile_gnoHpa;Sterile;gnoHpa;176991.1504;30000;6;0.1695
Sterile_gnoHpa;Sterile;gnoHpa;321125.6746;41650;8.33;0.1297
Sterile_gnoHpa;Sterile;gnoHpa;345849.8024;35000;7;0.1012
Sterile_gnoHpa;Sterile;gnoHpa;411805.0789;60000;12;0.1457
Sterile_gnoHpa;Sterile;gnoHpa;552997.8587;51650;10.33;0.0934
Sterile_gnoHpa;Sterile;gnoHpa;417530.2245;48350;9.67;0.1158
Sterile_gnoHpa;Sterile;gnoHpa;253235.7907;45000;9;0.1777
Sterile_gnoHpa;Sterile;gnoHpa;411489.3617;48350;9.67;0.1175
Sterile_gnoHpa;Sterile;gnoHpa;284414.1069;25000;5;0.0879
Sterile_gnoHpa;Sterile;gnoHpa;513845.3501;98350;19.67;0.1914
Sterile_gnoHpa;Sterile;gnoHpa;314465.4088;30000;6;0.0954
